Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Strength Training,2020-11-19 12:48:49,false,"Strength","0.00","688","01:19:24","120","173","3.1","0.00","0.0","0.0","0.0","0.0","0.0","217","26","1:19:24","0:00","84.2","0:00","No","01:19:23.52","1","0.0","13","13","13"
Strength Training,2020-11-12 08:08:57,false,"Strength","0.00","572","01:01:56","126","159","2.5","0.00","0.0","0.0","0.0","0.0","0.0","297","18","1:01:56","0:00","73.4","0:00","No","01:01:56.05","1","0.0","13","13","13"
Strength Training,2020-11-11 08:59:07,false,"Strength","0.00","453","00:55:00","119","152","2.1","0.00","0.0","0.0","0.0","0.0","0.0","301","21","55:00","0:00","73.4","0:00","No","54:59.64","1","0.0","16","16","16"
Cardio,2020-11-08 11:57:20,false,"Cardio","0.00","379","00:27:19","143","166","2.9","0.00","0.0","0.0","0.0","0.0","0.0","--","--","27:19","0:00","82.4","0:00","No","27:18.61","1","0.0","--","--","--"
Strength Training,2020-11-08 11:07:44,false,"Strength","0.00","345","00:49:23","110","144","1.1","0.00","0.0","0.0","0.0","0.0","0.0","242","25","49:23","0:00","82.4","0:00","No","49:23.40","1","0.0","14","14","14"
Cardio,2020-11-07 10:28:27,false,"Cardio","0.00","450","00:31:21","147","172","3.2","0.00","0.0","0.0","0.0","0.0","0.0","--","--","31:21","0:00","78.8","0:00","No","31:21.09","1","0.0","25","25","25"
Strength Training,2020-11-07 09:56:05,false,"Strength","0.00","212","00:31:48","105","145","0.8","0.00","0.0","0.0","0.0","0.0","0.0","228","18","31:48","0:00","78.8","0:00","No","31:48.47","1","0.0","14","14","14"
Cardio,2020-11-06 10:57:07,false,"Cardio","0.00","621","00:48:56","143","183","3.4","0.00","0.0","0.0","0.0","0.0","0.0","--","--","48:56","0:00","77.0","0:00","No","48:56.45","1","0.0","14","14","14"
Strength Training,2020-11-03 08:44:09,false,"Strength","0.00","331","00:59:28","100","133","0.8","0.00","0.0","0.0","0.0","0.0","0.0","226","26","59:28","0:00","80.6","0:00","No","59:27.89","1","0.0","14","14","14"
Strength Training,2020-11-02 08:57:52,false,"Strength","0.00","364","01:03:20","102","132","0.9","0.00","0.0","0.0","0.0","0.0","0.0","225","19","1:03:20","0:00","80.6","0:00","No","01:03:20.15","1","0.0","15","15","15"
Cardio,2020-11-01 12:26:22,false,"Cardio","0.00","753","01:00:37","140","167","3.2","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:00:37","0:00","80.6","0:00","No","01:00:36.87","1","0.0","--","--","--"
Strength Training,2020-11-01 11:41:24,false,"Strength","0.00","276","00:44:45","102","140","1.1","0.00","0.0","0.0","0.0","0.0","0.0","263","20","44:45","0:00","82.4","0:00","No","44:44.97","1","0.0","13","13","13"
Strength Training,2020-10-31 12:29:12,false,"Strength","0.00","329","00:47:48","112","136","1.1","0.00","0.0","0.0","0.0","0.0","0.0","278","30","47:48","0:00","82.4","0:00","No","47:48.27","1","0.0","15","15","15"
Strength Training,2020-10-29 14:55:04,false,"Strength","0.00","128","00:13:33","118","135","0.7","0.00","0.0","0.0","0.0","0.0","0.0","79","6","13:33","0:00","86.0","0:00","No","13:33.07","1","0.0","19","19","19"
Cardio,2020-10-28 18:13:42,false,"Cardio","0.00","492","00:46:18","127","175","3.1","0.00","0.0","0.0","0.0","0.0","0.0","--","--","46:18","0:00","78.8","0:00","No","46:18.46","1","0.0","16","16","16"
Strength Training,2020-10-28 08:19:10,false,"Strength","0.00","284","00:50:12","101","140","0.7","0.00","0.0","0.0","0.0","0.0","0.0","239","28","50:12","0:00","80.6","0:00","No","50:11.74","1","0.0","14","14","14"
